timestamp,title,source,url,text
2025-08-08 22:29:47+00:00,Harvard endowment invests $116M into BlackRock Bitcoin ETF,news,,harvard endowment invests $116m into blackrock bitcoin etf
2025-08-05 15:00:11+00:00,"Young Europeans Dump Bitcoin and Ethereum, Turn to XRP",news,,"young europeans dump bitcoin and ethereum, turn to xrp"
2025-08-05 08:18:06+00:00,Bitcoin and Ethereum ETFs see continued outflows as market pulls back,news,,bitcoin and ethereum etfs see continued outflows as market pulls back
2025-08-04 13:16:59+00:00,Bitcoin Sees Significant Outflows While Ethereum Holds Steady,news,,bitcoin sees significant outflows while ethereum holds steady
2025-08-02 12:01:00+00:00,"Can Ethereum Break $4,000 and Lead the Next Crypto Bull Run?",news,,"can ethereum break $4,000 and lead the next crypto bull run?"
