timestamp,title,source,url,text,sentiment
2025-08-09 14:47:41+00:00,Ether price target now $20K as ETH preps all-time high in &#039;1-2 weeks&#039;,news,,ether price target now $20k as eth preps all-time high in &#039;1-2 weeks&#039;,0.0
2025-08-09 01:40:50+00:00,"BlackRock Declines XRP, SOL ETF Launch Amidst Leadership Shifts",news,,"blackrock declines xrp, sol etf launch amidst leadership shifts",0.0
2025-08-08 22:29:47+00:00,Harvard endowment invests $116M into BlackRock Bitcoin ETF,news,,harvard endowment invests $116m into blackrock bitcoin etf,0.0
2025-08-05 15:00:11+00:00,"Young Europeans Dump Bitcoin and Ethereum, Turn to XRP",news,,"young europeans dump bitcoin and ethereum, turn to xrp",-0.3818
2025-08-05 08:18:06+00:00,Bitcoin and Ethereum ETFs see continued outflows as market pulls back,news,,bitcoin and ethereum etfs see continued outflows as market pulls back,0.0
2025-08-04 13:16:59+00:00,Bitcoin Sees Significant Outflows While Ethereum Holds Steady,news,,bitcoin sees significant outflows while ethereum holds steady,0.2023
